Время;Температура охлаждающей жидкости (°C);Соотношение воздух/топливо;Положение дроссельной заслонки (%);Обороты двигателя (об/мин);Обороты холостого хода (об/мин);Желаемое положение регулятора холостого хода (шаг);Текущее положение регулятора ХХ (шаг);Коэффициент коррекции длительности впрыска топлива;Угол опережения зажигания (°ПКВ);Скорость автомобиля (км\ч);Напряжение бортсети (В);Желаемые обороты холостого хода (об\мин);Напряжение на датчике кислорода (В);Длительность импульса впрыска (мсек);Массовый расход воздуха (кг\ч);Цикловой расход воздуха (мг\такт);Часовой расход топлива (л\час);Путевой расход топлива (л\100км);Контрольная сумма ПЗУ (hех);Флаг готовности датчика кислорода;Флаг разрешения нагрева датчика кислорода;Флаг комплектации датчиком кислорода;Флаг комплектации адсорбером;Флаг комплектации клапаном рециркуляции;Флаг комплектации датчиком температуры воздуха;Флаг комплектации датчиком детонации;Флаг комплектации датчиком фазы;Флаг запрещения отсечки топлива;Флаг разрешения адаптации уставки холостого хода;Флаг комплектации потенциометром корректировки СО;Флаг разрешения адаптации нуля дросселя;Флаг разрешения асинхронной подачи топлива на пуске;Флаг разрешения постоянного хранения ошибок;Флаг комплектации датчиком скорости автомобиля;Флаг разрешения одновременного впрыска;Флаг разрешения асинхронного впрыска при ускорении;Флаг выключения двигателя;Флаг холостого хода;Флаг обогащения по мощности;Флаг блокировки подачи топлива;Флаг зоны регулирования по датчику кислорода;Флаг попадания в зону детонации;Флаг продувки адсорбера;Флаг сохранения результатов обучения по датчику кислорода;Флаг наличия холостого хода в прошлом цикле вычислений;Флаг разрешения блокировки выхода из режима холостого хода;Флаг попадания в зону детонации в прошлом цикле вычислений;Флаг продувки адсорбера в прошлом цикле вычислений;Флаг Обнаружена детонация;Флаг прошлого состояния датчика кислорода;Флаг текущего состояния датчика кислорода;Флаг Ошибка датчика синхронизации КВ;Флаг ошибка EEPROM;Флаг Ошибка нагревателя датчика кислорода;Флаг Ошибка датчика фазы;Флаг ошибка сброса процесора;Флаг ошибка ОЗУ;Флаг ошибка ПЗУ;Флаг Низкое бортовое напряжение;Флаг Низкий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Низкий уровень сигнала с кислородного датчика;Флаг Низкий уровень сигнала датчика положения дроссельной заслонки;Флаг Низкий уровень сигнала датчика массового расхода воздуха;Флаг Низкий уровень шума двигателя;Флаг Высокое бортовое напряжение;Флаг Высокий уровень сигнала с кислородного датчика;Флаг Высокий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Высокий уровень сигнала датчика положения дроссельной заслонки;Флаг Высокий уровень сигнала датчика массового расхода воздуха;Флаг Высокий уровень шума двигателя;Флаг Обрыв датчика детонации;Флаг Нет связи с иммобилайзером;Флаг Нет активности датчика кислорода;Флаг Нет отклика датчика кислорода при обеднении;Флаг Нет отклика датчика кислорода при обогащении;Флаг Ошибка датчика скорости;Флаг Ошибка регулятора холостого хода;АЦП канала датчика детонации (В);АЦП Датчик температуры охлаждающей жидкости (В);АЦП Датчик массового расхода воздуха (В);АЦП Бортовое напряжение (В);АЦП Датчик кислорода (В);АЦП Датчик положения дроссельной заслонки (В);Время (сек)
22.29;77;14;2;1400;1390;41;41;0.98;23.5;31;13.85;900;0.84;3.808;17.2;103.3;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;431.4
22.3;77;14;2;1400;1390;41;41;0.98;23.5;31;13.85;900;0.84;3.808;17.2;103.3;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;431.9
22.31;77;14;2;1440;1420;43;43;0.96;24.5;31;13.85;900;0.781;3.96;18.1;109.5;1.66;5.4;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;432
22.32;77;14;1;1440;1430;43;43;0.96;25;31;13.85;900;0.723;3.92;18;109;1.64;5.34;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;432.2
22.33;76;14;2;1400;1410;43;43;0.96;23.5;31;13.85;900;0.762;3.912;18;108.8;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;432.3
22.34;76;14;2;1400;1410;43;43;0.96;23.5;31;13.85;900;0.762;3.912;18;108.8;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;432.6
22.35;76;14;2;1400;1410;43;43;0.96;23.5;31;13.85;900;0.762;3.912;18;108.8;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;432.7
22.36;76;14;2;1400;1410;43;43;0.96;23.5;31;13.85;900;0.762;3.912;18;108.8;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;433.2
22.37;76;14;2;1400;1390;43;43;0.94;23.5;31;13.85;900;0.84;3.872;17.3;109.5;1.6;5.16;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;433.3
22.38;76;14;2;1400;1410;43;43;0.93;23.5;31;13.85;900;0.82;3.832;17.9;109.2;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;433.5
22.39;76;14.1;2;1440;1430;43;43;0.93;24.5;31;13.85;900;0.801;3.824;18;109.3;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;433.6
22.4;76;14.1;2;1440;1430;43;43;0.93;24.5;31;13.85;900;0.801;3.824;18;109.3;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;433.9
22.41;76;14.1;2;1440;1430;43;43;0.93;24.5;31;13.85;900;0.801;3.824;18;109.3;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;434
22.42;76;14.1;2;1440;1430;43;43;0.93;24.5;31;13.85;900;0.801;3.824;18;109.3;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;434.5
22.43;76;14.1;2;1400;1410;43;43;0.94;23.5;31;13.85;900;0.078;3.824;17.4;109;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;434.6
22.44;76;14.1;2;1400;1400;43;43;0.94;23.5;31;13.85;900;0.059;3.824;17.9;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;434.8
22.45;76;14.1;2;1400;1400;43;43;0.94;23.5;31;13.85;900;0.059;3.824;17.9;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;435.1
22.46;76;14.1;2;1400;1400;43;43;0.94;23.5;31;13.85;900;0.059;3.824;17.9;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;435.2
22.47;76;14.1;2;1400;1400;43;43;0.94;23.5;31;13.85;900;0.059;3.824;17.9;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;435.6
22.48;76;14.1;1;1400;1420;43;43;0.93;24;31;13.85;900;0.801;3.808;17.8;108.7;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;435.8
22.49;76;14.1;2;1400;1400;43;43;0.93;23.5;31;13.85;900;0.82;3.824;17.6;109.3;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;435.9
22.5;76;14.1;2;1360;1370;43;43;0.93;22.5;31;13.85;900;0.781;3.792;17;108.8;1.5;4.87;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.1
22.51;76;14.1;2;1440;1440;43;43;0.93;24.5;31;13.85;900;0.273;3.792;17.7;109;1.6;5.16;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.2
22.52;76;14.1;2;1400;1390;43;43;0.95;23.5;31;13.85;900;0.059;3.88;18.1;109.7;1.6;5.16;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.4
22.53;76;14.1;2;1440;1430;43;43;0.95;24.5;31;13.85;900;0.059;3.856;17.9;109;1.62;5.28;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.5
22.54;76;14.1;2;1440;1430;43;43;0.95;24.5;31;13.85;900;0.078;3.84;17.8;108.5;1.62;5.22;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.6
22.55;76;14.1;2;1440;1420;43;43;0.95;24.5;31;13.85;900;0.117;3.864;17.6;109.2;1.64;5.34;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.8
22.56;76;14.1;2;1440;1420;43;43;0.95;24.5;31;13.85;900;0.566;3.904;18.4;109.7;1.64;5.34;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;436.9
22.57;76;14.1;2;1400;1410;43;43;0.95;23.5;31;13.85;900;0.645;3.888;17.6;109;1.6;5.16;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;437.1
22.58;76;14.1;2;1440;1430;43;43;0.93;24.5;32;13.85;900;0.645;3.808;17.7;108.7;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;437.2
22.59;76;14.1;2;1440;1440;43;43;0.93;24.5;32;13.85;900;0.664;3.808;17.6;108.5;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;437.3
22.6;76;14.1;2;1440;1440;43;43;0.93;24.5;32;13.85;900;0.664;3.808;17.6;108.5;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;437.6
22.61;76;14.1;2;1440;1440;43;43;0.93;24.5;32;13.85;900;0.664;3.808;17.6;108.5;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;437.7
22.62;76;14.1;2;1440;1440;43;43;0.93;24.5;32;13.85;900;0.664;3.808;17.6;108.5;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.2
22.63;76;14.1;2;1440;1430;43;43;0.93;24.5;31;13.85;900;0.82;3.736;17.6;107.8;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.4
22.64;76;14.1;2;1440;1420;43;43;0.92;24.5;31;13.85;900;0.801;3.712;17.8;107.8;1.56;5.05;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.5
22.65;77;14.1;2;1440;1450;43;43;0.92;24.5;31;13.85;900;0.703;3.736;18.3;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.6
22.66;77;14.1;2;1440;1440;43;43;0.92;24.5;31;13.85;900;0.176;3.736;17.9;108.7;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.8
22.67;77;14.1;2;1440;1450;43;43;0.94;24.5;32;13.85;900;0.137;3.784;17.6;107.8;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;438.9
22.68;77;14.1;2;1440;1440;43;43;0.94;24.5;32;13.85;900;0.352;3.784;17.9;107.7;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.1
22.69;77;14.1;2;1440;1430;43;43;0.94;24.5;32;13.85;900;0.078;3.792;17.8;108.2;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.2
22.7;77;14.1;2;1440;1450;43;43;0.95;24.5;32;13.85;900;0.078;3.832;18.3;108.8;1.62;5.06;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.3
22.71;77;14.1;2;1440;1450;43;43;0.95;24.5;31;13.85;900;0.078;3.824;17.7;108;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.5
22.72;77;14.1;2;1440;1450;43;43;0.95;24.5;32;13.85;900;0.078;3.792;17.9;107;1.58;4.95;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.6
22.73;77;14.1;2;1440;1450;43;43;0.95;24.5;32;13.85;900;0.078;3.792;17.9;107;1.58;4.95;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;439.9
22.74;77;14.1;2;1440;1450;43;43;0.95;24.5;32;13.85;900;0.078;3.792;17.9;107;1.58;4.95;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;440
22.75;77;14.1;2;1440;1450;43;43;0.95;24.5;32;13.85;900;0.078;3.792;17.9;107;1.58;4.95;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;440.5
22.76;77;14.1;2;1440;1450;43;43;0.93;24.5;31;13.85;900;0.82;3.72;17.3;107.2;1.58;5.1;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;440.6
22.77;77;14.1;2;1480;1470;43;43;0.93;25;32;13.85;900;0.82;3.72;17.3;107;1.6;5;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;440.8
